Date,Open,High,Low,Close,Volume
2019-01-04,1006.45,1030.1,1004.3,1024.36,19530.5
2019-01-07,1045.87,1054.46,1016.48,1021.5,24690.6
2019-01-08,1025.81,1029.39,1018.64,1021.5,16880.6
2019-01-09,1024.36,1036.55,1013.61,1015.04,23994.3
2019-01-10,1010.75,1012.9,1006.45,1006.45,11437.8
2019-01-11,1005.02,1015.76,1003.59,1003.59,13392.5
2019-01-15,1003.59,1017.2,1001.43,1005.73,17157.8
2019-01-16,1005.73,1017.92,1001.43,1009.31,10463.2
2019-01-17,1010.03,1021.5,1003.59,1004.3,21760.2
2019-01-18,1004.3,1022.93,1004.3,1005.73,19111.4
2019-01-21,1010.75,1017.2,1007.88,1010.75,18833.1
2019-01-22,1015.76,1020.06,1003.59,1004.3,20785.6
2019-01-23,996.409,1012.18,990.664,999.991,18552.6
2019-01-24,1002.87,1010.75,998.545,1004.3,11856.9
2019-01-25,1002.87,1026.53,1000.71,1012.18,21342.2
2019-01-28,1012.18,1030.81,1005.02,1008.59,30132.3
2019-01-29,1008.59,1020.06,1007.88,1013.61,14087.7
2019-01-30,1017.92,1020.06,1002.87,1002.87,23853.5
2019-01-31,1075.27,1081.0,1045.87,1057.35,74771.4
2019-02-01,1073.83,1086.73,1065.22,1076.7,42826.3
2019-02-04,1076.7,1088.15,1075.99,1082.44,29434.9
2019-02-05,1082.44,1085.3,1068.1,1070.96,30969.4
2019-02-06,1076.7,1078.85,1043.73,1050.89,43803.1
2019-02-07,1046.58,1050.89,1026.53,1043.0,34317.8
2019-02-08,1025.81,1043.73,1020.79,1028.67,34317.8
2019-02-12,1038.71,1053.04,1031.53,1045.87,21484.1
2019-02-13,1045.87,1055.91,1036.55,1055.91,27204.1
2019-02-14,1054.46,1057.35,1040.85,1044.45,15765.2
2019-02-15,1042.28,1049.45,1033.68,1048.03,16042.4
2019-02-18,1053.04,1061.65,1045.87,1057.35,17438.3
2019-02-19,1054.46,1067.38,1054.46,1066.66,16321.8
2019-02-20,1070.24,1079.55,1064.5,1078.85,23158.3
2019-02-21,1074.55,1074.55,1062.36,1068.81,15484.7
2019-02-22,1067.38,1070.96,1056.63,1065.22,20785.6
2019-02-25,1065.22,1070.96,1063.07,1070.96,20925.3
2019-02-26,1066.66,1067.38,1048.03,1056.63,22877.8
2019-02-27,1058.78,1058.78,1047.3,1053.75,19111.4
2019-02-28,1057.35,1057.35,1046.58,1048.03,19111.4
2019-03-01,1051.6,1063.79,1044.45,1058.78,23575.2
2019-03-04,1070.96,1070.96,1062.36,1065.94,17019.2
2019-03-05,1060.22,1063.07,1054.46,1063.07,14087.7
2019-03-06,1063.07,1066.66,1055.19,1063.07,17715.5
2019-03-07,1062.36,1062.36,1053.04,1055.19,23716.0
2019-03-08,1045.15,1047.3,1025.09,1035.12,43663.4
2019-03-11,1039.43,1050.89,1035.12,1039.43,16042.4
2019-03-12,1039.43,1053.04,1038.71,1047.3,21342.2
2019-03-13,1050.17,1053.04,1037.99,1050.89,12834.8
2019-03-14,1053.75,1053.75,1044.45,1047.3,14087.7
2019-03-15,1050.89,1058.78,1050.89,1053.75,19669.1
2019-03-18,1060.93,1069.53,1058.06,1069.53,31108.0
2019-03-19,1070.24,1073.83,1059.5,1071.68,25528.8
2019-03-20,1072.39,1073.83,1055.91,1065.22,30829.7
2019-03-22,1066.66,1074.55,1060.93,1072.39,29434.9
2019-03-25,1067.38,1071.68,1058.06,1071.68,40175.3
2019-03-26,1057.35,1074.55,1057.35,1070.96,78399.2
2019-03-27,999.273,1045.55,999.273,1042.37,43351.0
2019-03-28,1041.57,1045.55,1016.04,1029.6,34078.0
2019-03-29,1031.2,1034.39,1017.63,1031.2,21675.5
2019-04-01,1032.8,1059.14,1032.8,1044.75,22676.5
2019-04-02,1044.75,1044.75,1021.63,1023.22,14534.3
2019-04-03,1024.02,1035.19,1017.63,1023.22,19670.2
2019-04-04,1021.63,1031.2,1015.24,1026.41,16537.4
2019-04-05,1013.65,1026.41,1013.65,1022.42,19545.9
2019-04-08,1022.42,1024.82,1017.63,1020.04,5764.0
2019-04-09,1016.84,1016.84,1003.25,1007.26,18042.2
2019-04-10,1011.25,1011.25,997.682,1005.65,19545.9
2019-04-11,1000.86,1007.26,998.482,999.273,12654.4
2019-04-12,1000.06,1004.05,998.482,1000.06,8646.0
2019-04-15,1001.66,1021.63,1001.66,1021.63,13781.9
2019-04-16,1021.63,1026.41,1014.44,1014.44,8144.4
2019-04-17,1014.44,1020.84,1002.46,1008.86,22928.4
2019-04-18,1009.66,1010.45,999.273,1003.25,13030.6
2019-04-19,1003.25,1007.26,997.682,998.482,8394.1
2019-04-22,1000.06,1000.06,987.309,992.882,18291.9
2019-04-23,993.691,1003.25,993.691,1001.66,7390.9
2019-04-24,1007.26,1019.23,1004.05,1014.44,15535.3
2019-04-25,1014.44,1014.44,996.882,1010.45,12779.8
2019-04-26,1007.26,1007.26,994.491,997.682,13156.0
2019-05-07,985.709,1003.25,978.518,995.282,27439.5
2019-05-08,993.691,993.691,966.545,975.336,33452.1
2019-05-09,957.764,976.136,916.273,917.064,73922.2
2019-05-10,919.464,939.409,919.464,933.827,31446.8
2019-05-13,942.618,950.582,931.445,938.618,18542.7
2019-05-14,930.645,931.445,909.873,931.445,23805.1
2019-05-15,931.445,937.018,926.645,931.445,11903.1
2019-05-16,931.445,933.827,920.264,923.445,12404.7
2019-05-17,930.645,947.391,930.645,945.0,12654.4
2019-05-20,955.373,958.564,945.0,947.391,9021.1
2019-05-21,946.591,946.591,925.045,932.227,14282.4
2019-05-22,937.818,941.818,927.445,927.445,17164.4
2019-05-23,928.245,937.818,928.245,935.418,8144.4
2019-05-24,933.827,945.8,932.227,941.818,11401.5
2019-05-27,941.818,950.582,938.618,950.582,6389.9
2019-05-28,950.582,959.364,946.591,948.191,13030.6
2019-05-29,948.191,956.173,945.0,947.391,14407.8
2019-05-30,947.391,947.391,920.264,926.645,21800.9
2019-05-31,926.645,933.827,920.264,924.245,17540.6
2019-06-03,923.445,924.245,917.864,917.864,11150.7
2019-06-04,918.664,926.645,917.864,926.645,13156.0
2019-06-05,928.245,936.218,921.045,926.645,18167.6
2019-06-06,933.027,948.991,929.845,935.418,14407.8
2019-06-07,946.591,946.591,926.645,938.618,15411.0
2019-06-10,948.991,956.973,945.0,955.373,15034.8
2019-06-11,954.573,957.764,949.791,955.373,8646.0
2019-06-12,956.973,958.564,943.4,943.4,10523.7
2019-06-13,942.618,943.4,928.245,934.627,9773.5
2019-06-14,939.409,951.382,928.245,945.8,16413.1
2019-06-17,945.8,945.8,938.618,943.4,15034.8
2019-06-18,944.2,944.2,923.445,924.245,17416.3
2019-06-19,933.827,936.218,927.445,936.218,9897.8
2019-06-20,940.209,943.4,932.227,932.227,4508.9
2019-06-21,941.018,941.018,921.845,921.845,14785.1
2019-06-24,923.445,925.845,920.264,923.445,7390.9
2019-06-25,923.445,926.645,920.264,924.245,7141.2
2019-06-26,925.845,925.845,918.664,918.664,11525.8
2019-06-27,918.664,925.045,913.864,913.864,24055.9
2019-06-28,914.673,920.264,911.473,912.273,13531.1
2019-07-01,917.864,933.027,914.673,917.864,17416.3
2019-07-02,921.045,926.645,918.664,921.045,9773.5
2019-07-03,920.264,940.209,920.264,939.409,11401.5
2019-07-04,944.2,980.118,944.2,967.355,30695.5
2019-07-05,972.145,997.682,968.155,997.682,25934.7
2019-07-08,1002.46,1002.46,979.318,979.318,12152.8
2019-07-09,980.918,988.1,957.764,957.764,12905.2
2019-07-10,949.791,962.555,937.818,944.2,24181.3
2019-07-11,950.582,956.173,948.191,952.182,7517.4
2019-07-12,956.973,958.564,940.209,940.209,9520.5
2019-07-16,941.018,942.618,933.827,933.827,5011.6
2019-07-17,934.627,941.018,933.827,935.418,8770.3
2019-07-18,934.627,934.627,917.864,917.864,20422.6
2019-07-19,925.045,929.845,922.645,927.445,11777.7
2019-07-22,929.845,931.445,923.445,923.445,6891.5
2019-07-23,929.045,929.045,921.045,922.645,11903.1
2019-07-24,925.845,929.845,923.445,928.245,7517.4
2019-07-25,929.045,929.045,925.845,927.445,4009.5
2019-07-26,929.045,929.045,925.845,925.845,6514.2
2019-07-29,930.645,933.827,926.645,926.645,8895.7
2019-07-30,933.827,935.418,927.445,927.445,12654.4
2019-07-31,994.491,1000.86,949.791,949.791,61267.8
